,life_expectancy,year,adult_mortality,infant_mortality,1-4_mortality,alcohol,hep_b,bmi,polio,health_gov_expendt%,dtp3,hiv_aids,gdp,5_19thinness,5_19obesity,hdi,schooling,drinking_water,national_income_capita,health_expenditure%_gdp,obesity_adlts,region_Europe & Central Asia,region_Latin America & Caribbean,region_Middle East & North Africa,region_North America,region_South Asia,region_Sub-Saharan Africa,status_Developing
22,74.2,2006.0,100.7193,0.01777,0.00051,5.31,98.0,25.7,97.0,5.86,97.0,0.1,35.1293,1.8,3.6,0.696,11.4,87.92856,7410.0,6.3918282175329395,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23,75.9,2007.0,101.3226,0.017085,0.00049,5.58,98.0,25.8,99.0,6.1,98.0,0.1,363.13685,1.7,3.9,0.703,11.6,87.91208,7940.0,6.5754162691980795,16.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
24,75.3,2008.0,102.2168,0.0164,0.000495,5.61,99.0,25.9,99.0,5.87,99.0,0.1,437.539647,1.7,4.2,0.713,12.0,87.88725,8920.0,6.533551347827704,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25,76.1,2009.0,102.8193,0.015715,0.00047,5.79,98.0,26.0,98.0,5.79,98.0,0.1,4114.136545,1.6,4.5,0.721,12.2,87.85342,9370.0,6.600574362926928,17.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
26,76.2,2010.0,103.476,0.014895,0.000475,5.28,99.0,26.1,99.0,5.34,99.0,0.1,494.358832,1.5,4.9,0.725,12.5,87.81129,9390.0,6.4425159995549635,18.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27,76.6,2011.0,103.2177,0.014115,0.00045,5.37,99.0,26.2,99.0,5.71,99.0,0.1,4437.17868,1.5,5.3,0.738,13.3,87.76034,10090.0,6.802011481282243,18.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0
28,76.9,2012.0,103.188,0.01319,0.00042,5.14,99.0,26.3,99.0,5.59,99.0,0.1,4247.61438,1.4,5.7,0.752,14.2,87.86044,10080.0,6.9239844058561815,19.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29,77.2,2013.0,100.3286,0.012255,0.000425,4.76,99.0,26.4,99.0,5.66,99.0,0.1,4414.72314,1.3,6.1,0.759,14.2,89.46109,10520.0,6.970064850621391,19.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30,77.5,2014.0,98.31907,0.0116,0.0004,4.51,98.0,26.5,98.0,5.88,98.0,0.1,4575.763787,1.3,6.6,0.761,14.2,90.9812,15445.876030155916,6.968255389633114,20.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,77.8,2015.0,92.23947,0.011165,0.00039,4.6,99.0,26.6,99.0,6.0,99.0,0.1,3954.22783,1.3,7.1,0.762,14.2,91.00102,15885.842649028236,7.091756697178425,21.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32,71.3,2000.0,141.8877,0.03753,0.001525,0.25,72.75467365339296,24.3,86.0,3.49,86.0,0.1,1757.17797,6.6,5.7,0.636,10.7,89.83726,7460.0,3.48903,17.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33,71.4,2001.0,138.7517,0.03691,0.001535,0.23,75.92572468391882,24.4,89.0,3.84,89.0,0.1,1732.857979,6.5,6.1,0.644,10.9,90.1146,8040.0,3.83788,17.9,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34,71.6,2002.0,134.6538,0.03568,0.001455,0.36,73.901165196894,24.4,86.0,3.73,86.0,0.1,1774.33673,6.4,6.5,0.653,11.1,90.38717,8430.0,3.73004,18.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35,71.7,2003.0,133.205,0.034185,0.001475,0.34,75.66751581955486,24.5,87.0,3.6,87.0,0.1,294.33556,6.3,6.9,0.663,11.5,90.65481,9120.0,3.60104,19.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
36,72.3,2004.0,125.1464,0.032285,0.001345,0.45,81.0,24.6,86.0,3.54,86.0,0.1,2598.9823,6.2,7.3,0.673,11.7,90.91754,9590.0,3.54407,19.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37,72.9,2005.0,119.3187,0.030325,0.001265,0.5,83.0,24.7,88.0,3.24,88.0,0.1,31.122378,6.2,7.7,0.68,12.0,91.17525,10290.0,3.23516,20.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38,73.4,2006.0,114.6635,0.028425,0.001205,0.36,8.0,24.7,95.0,3.36,95.0,0.1,3464.6179,6.1,8.1,0.686,12.3,91.42819,10690.0,3.3551,20.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39,73.8,2007.0,111.3204,0.026535,0.001155,0.44,9.0,24.8,95.0,3.82,95.0,0.1,3935.183343,6.0,8.6,0.69,12.3,91.67622,11440.0,3.82142,21.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0
40,74.1,2008.0,108.3998,0.02488,0.001095,0.46,91.0,24.9,92.0,4.2,93.0,0.1,495.254866,6.0,9.0,0.697,12.6,91.91957,11760.0,4.20188,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,74.4,2009.0,106.8568,0.023535,0.001065,0.5,94.0,25.0,94.0,5.36,95.0,0.1,3868.83123,6.0,9.5,0.705,13.1,92.15714,11780.0,5.3594,22.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42,74.7,2010.0,104.355,0.0226,0.001005,0.45,95.0,25.1,95.0,5.12,95.0,0.1,4463.394675,5.9,10.0,0.714,13.6,92.38947,12220.0,5.11717,23.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43,74.9,2011.0,102.8914,0.022055,0.000955,0.56,95.0,25.1,95.0,5.29,95.0,0.1,5432.2523,5.9,10.5,0.724,14.0,92.61646,12480.0,5.26748,24.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
44,75.1,2012.0,101.4798,0.02163,0.000945,0.66,95.0,25.2,95.0,6.14,95.0,0.1,5564.82566,5.9,11.1,0.732,14.4,92.83835,12750.0,6.00051,24.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45,75.3,2013.0,99.71415,0.021535,0.000915,0.53,95.0,25.3,95.0,7.12,95.0,0.1,5471.866766,5.9,11.7,0.737,14.4,93.05519,12990.0,6.03576,25.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46,75.4,2014.0,98.03681,0.02152,0.000915,0.01,95.0,25.4,95.0,7.21,95.0,0.1,547.8517,5.9,12.3,0.741,14.4,93.26727,23815.175044653693,6.54721,26.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47,75.6,2015.0,96.49422,0.02169,0.000915,0.3522550620911886,95.0,25.5,95.0,6.14721648140592,95.0,0.1,4132.76292,5.9,12.9,0.743,14.4,93.47459,26872.13994527538,6.97848,26.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0
48,45.3,2000.0,383.5583,0.137985,0.025695,1.85,20.223692590252085,21.7,3.0,2.79,28.0,2.0,555.2969419,11.0,0.5,0.382,4.6,41.14431,2190.0,1.9086,3.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0
49,45.7,2001.0,372.3876,0.133675,0.0245,2.58,34.92791065912843,21.8,41.0,5.38,38.0,2.1,526.168743,10.9,0.5,0.391,5.1,42.25467,2290.0,4.48352,3.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0
50,46.5,2002.0,354.5147,0.12832,0.02326,2.82,35.16440112394639,21.9,37.0,3.63,41.0,2.3,711.181716,10.7,0.6,0.401,5.5,43.3768,2690.0,3.32946,4.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
51,46.8,2003.0,343.2169,0.12204,0.021925,3.49,8.812714077146438,22.0,4.0,4.41,4.0,2.4,779.468356,10.5,0.7,0.406,5.9,44.36387,2820.0,3.54797,4.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52,47.1,2004.0,333.8711,0.1157,0.020545,3.53,10.250578561946895,22.2,4.0,4.71,4.0,2.5,141.86844,10.3,0.8,0.415,6.4,45.35134,3080.0,3.9672,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
53,47.4,2005.0,322.7077,0.109205,0.018945,5.04,36.64845877039079,22.3,39.0,4.1,38.0,2.6,1443.991929,10.2,0.8,0.426,6.8,46.33602,3570.0,2.8522,4.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0
54,47.7,2006.0,313.7094,0.10312,0.01736,5.84,34.895172322426106,22.4,36.0,4.54,34.0,2.5,262.415149,10.0,0.9,0.439,7.2,47.15023,4260.0,2.68554,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
55,48.2,2007.0,302.8322,0.09685,0.01592,6.35,73.0,22.5,75.0,3.38,73.0,2.6,2878.837144,9.8,1.0,0.454,7.7,47.96147,5320.0,2.97439,5.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0
56,48.7,2008.0,292.1559,0.090765,0.014585,7.07,69.0,22.6,65.0,3.84,69.0,2.6,3868.578883,9.6,1.2,0.468,8.1,48.7704,5720.0,3.3229,5.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0
57,49.1,2009.0,281.0492,0.0848,0.01331,7.01,61.0,22.7,63.0,4.37,6.0,2.5,3347.84485,9.4,1.3,0.48,8.5,49.57516,6200.0,3.84261,5.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0
58,49.6,2010.0,269.7017,0.079385,0.012125,7.8,77.0,22.8,81.0,3.39,77.0,2.5,3529.53482,9.2,1.4,0.488,9.0,50.37684,6230.0,2.6951,6.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0
59,51.0,2011.0,260.1031,0.07452,0.010985,8.06,72.0,22.9,73.0,3.38,71.0,2.5,4299.12889,9.1,1.5,0.495,9.4,51.17484,6430.0,2.64561,6.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
60,56.0,2012.0,253.1881,0.07023,0.010025,8.24,75.0,23.0,75.0,3.3,75.0,2.6,4598.249988,8.9,1.7,0.508,10.3,51.96854,6560.0,2.39575,6.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0
61,51.1,2013.0,249.2501,0.06638,0.009215,8.1,77.0,23.1,67.0,4.26,77.0,2.3,484.616884,8.7,1.9,0.523,11.4,52.75735,6770.0,2.73283,7.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
62,51.7,2014.0,243.9467,0.06312,0.00856,8.33,64.0,23.2,68.0,3.31,64.0,2.0,479.31224,8.6,2.0,0.527,11.4,53.54151,7098.335865903959,2.43413,7.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
63,52.4,2015.0,239.7846,0.060405,0.007975,1.6792464885516836,64.0,23.2,7.0,3.8151405321396723,64.0,1.9,3695.793748,8.4,2.2,0.531,11.4,54.31693,7811.853338892201,2.60579,7.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0
64,73.6,2000.0,156.7081,0.012345,0.00046,7.27,92.28558548392448,25.1,96.0,4.13,95.0,0.1,9875.161736,3.7,5.0,0.0,0.0,98.25377,14470.0,4.4807,12.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0
65,73.8,2001.0,154.4558,0.01164,0.000445,7.51,96.0,25.2,99.0,4.48,97.0,0.1,9358.154162,3.6,5.3,0.0,0.0,98.13726,14470.0,5.2803,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
66,74.0,2002.0,148.8841,0.01123,0.000435,7.21,99.0,25.3,93.0,4.41,98.0,0.1,9386.716452,3.6,5.6,0.0,0.0,98.02075,14620.0,5.42647,13.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0
67,74.2,2003.0,151.216,0.01099,0.00044,7.16,99.0,25.4,99.0,4.53,99.0,0.1,9739.82556,3.5,5.9,0.0,0.0,97.90424,15820.0,5.81217,13.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0
68,74.4,2004.0,152.8449,0.01076,0.00058,7.28,97.0,25.5,97.0,4.21,97.0,0.1,1352.8374,3.5,6.2,0.0,0.0,97.78774,16800.0,5.25793,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
69,74.6,2005.0,156.0681,0.01042,0.00059,8.15,99.0,25.6,98.0,4.41,99.0,0.1,11371.93895,3.5,6.5,0.0,0.0,97.67123,18360.0,4.97075,14.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0
70,74.8,2006.0,155.1216,0.00993,0.0006,8.93,99.0,25.7,99.0,4.34,99.0,0.1,12724.39377,3.4,6.9,0.773,14.7,97.55473,21280.0,4.66922,14.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0
71,75.0,2007.0,148.9784,0.009345,0.000605,8.64,97.0,25.8,98.0,4.27,99.0,0.1,14252.29452,3.4,7.2,0.781,14.5,97.43822,23530.0,4.70825,15.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
72,75.2,2008.0,146.8406,0.008715,0.000605,8.27,98.0,25.9,99.0,4.69,99.0,0.1,1473.31923,3.4,7.6,0.786,14.4,97.32172,23620.0,4.3931,15.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
73,75.4,2009.0,138.2332,0.00807,0.000765,7.82,98.0,26.0,98.0,4.86,99.0,0.1,1312.46692,3.4,8.0,0.788,14.2,97.20521,20780.0,4.39794,15.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
74,75.6,2010.0,134.6441,0.00743,0.000765,7.84,98.0,26.1,99.0,5.63,98.0,0.1,12126.87614,3.3,8.5,0.783,14.1,97.08871,19600.0,5.1871,16.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0
75,75.7,2011.0,128.1743,0.0068,0.00077,7.84,99.0,26.2,99.0,5.65,99.0,0.1,11929.34991,3.3,8.9,0.782,14.1,96.9722,19240.0,5.29602,16.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0
76,75.9,2012.0,127.0729,0.006795,0.000775,8.18,98.0,26.3,97.0,5.39,98.0,0.2,12565.44197,3.3,9.4,0.778,13.8,96.85569,19850.0,5.19106,17.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
77,76.1,2013.0,126.9949,0.006165,0.000775,8.58,99.0,26.4,98.0,5.33,99.0,0.2,12224.86416,3.3,9.9,0.781,13.9,96.73919,20070.0,5.41709,17.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
78,76.2,2014.0,126.6074,0.005545,0.00094,8.56,99.0,26.5,96.0,5.54,99.0,0.2,12888.29667,3.3,10.4,0.782,13.9,96.73919,24839.17561812793,5.25246,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
79,76.4,2015.0,121.9186,0.00553,0.00078,5.836073011667736,99.0,26.6,86.0,5.712238226222752,99.0,0.2,13566.9541,3.3,10.9,0.784,13.9,96.73919,26268.374248887172,4.70175,18.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0
80,74.1,2000.0,138.5419,0.01817,0.00054,7.68,75.8695686368319,26.1,88.0,9.21,83.0,0.1,7669.273916,1.2,11.3,0.764,15.0,96.21301,16072.402320051042,8.46696,20.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0
81,74.0,2001.0,137.5599,0.017375,0.000515,7.76,76.5539745949352,26.2,85.0,9.38,83.0,0.1,717.694674,1.2,11.6,0.771,15.6,96.46213,13057.72257678063,8.62097,21.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0
82,74.1,2002.0,137.0724,0.016575,0.00049,7.81,66.0,26.3,94.0,8.31,93.0,0.1,2579.193168,1.2,11.9,0.776,16.3,96.70513,15620.373812698374,7.6467,21.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
83,74.1,2003.0,134.4174,0.01575,0.00049,7.62,73.0,26.4,95.0,8.22,96.0,0.1,333.4376,1.1,12.2,0.77,16.4,96.94247,15369.88594843704,7.11225,22.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
84,74.7,2004.0,127.7558,0.01501,0.00049,7.63,81.0,26.5,91.0,6.84,98.0,0.1,4251.574348,1.1,12.5,0.775,16.3,97.17484,18668.771712420687,7.22868,22.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
85,74.9,2005.0,124.8681,0.0145,0.00046,7.53,88.0,26.6,95.0,6.85,98.0,0.1,576.883829,1.1,12.9,0.78,16.3,97.40218,17534.76842775377,7.61084,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
86,75.2,2006.0,124.1668,0.014155,0.00043,7.75,84.0,26.7,92.0,6.68,91.0,0.1,5878.76127,1.1,13.2,0.782,16.1,97.62473,20684.113900655226,7.55025,23.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0
87,74.8,2007.0,126.3048,0.014015,0.00043,8.16,85.0,26.8,92.0,6.49,91.0,0.1,7193.61764,1.0,13.5,0.788,16.3,97.84245,21787.151227495826,7.61111,23.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
88,75.4,2008.0,123.4586,0.01383,0.00043,8.41,9.0,26.9,94.0,6.66,93.0,0.1,8953.359275,1.0,13.9,0.792,16.3,98.05557,22349.963652218892,7.67217,24.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0
89,75.6,2009.0,123.0683,0.013715,0.000405,8.33,94.0,27.0,97.0,7.63,94.0,0.1,8161.36966,1.0,14.2,0.794,16.5,98.26406,22070.11747247107,9.01046,24.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
90,75.5,2010.0,118.6872,0.01331,0.000405,8.15,94.0,27.1,95.0,6.55,94.0,0.1,1276.265,1.0,14.6,0.802,16.8,98.46806,20422.869858242084,8.61366,25.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0
91,75.7,2011.0,117.8753,0.012775,0.00038,8.11,91.0,27.2,93.0,5.89,91.0,0.1,12726.9836,1.0,14.9,0.816,17.1,98.66657,26919.38101331623,8.39656,25.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
92,75.9,2012.0,117.6861,0.01217,0.00036,8.35,91.0,27.3,99.0,5.2,91.0,0.1,12969.7712,1.0,15.3,0.822,17.2,98.86074,28194.421152343366,8.45704,26.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0
93,76.0,2013.0,116.4624,0.011435,0.000355,8.28,94.0,27.4,99.0,4.99,94.0,0.1,12976.63642,0.9,15.7,0.823,17.3,98.93041,29050.881673883883,8.37135,26.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
94,76.2,2014.0,112.7553,0.010815,0.00033,7.93,94.0,27.5,92.0,4.79,94.0,0.1,12245.25645,0.9,16.1,0.825,17.3,99.00025,29524.027041467092,8.25823,27.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0
95,76.3,2015.0,112.7406,0.010255,0.00033,6.5495449771948415,94.0,27.6,93.0,7.819341847901839,94.0,0.1,13467.1236,0.9,16.5,0.826,17.3,99.07014,28658.747099007454,8.7885,27.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
96,72.0,2000.0,143.4126,0.03129,0.000975,2.9,55.0,25.7,96.0,6.25,93.0,0.1,622.7427477,2.2,2.6,0.639,11.2,95.13351,2380.0,4.1958,14.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
97,72.6,2001.0,143.1514,0.028865,0.000935,2.86,69.0,25.7,97.0,5.94,94.0,0.1,694.435119,2.1,2.6,0.644,11.1,95.4193,2690.0,4.64563,14.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0
98,72.6,2002.0,136.9068,0.02618,0.000875,2.86,91.0,25.7,96.0,5.4,94.0,0.1,783.261699,2.1,2.6,0.645,10.8,95.7216,3120.0,7.6136,14.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0
99,72.7,2003.0,136.7254,0.02371,0.000815,3.03,93.0,25.8,96.0,5.56,94.0,0.1,93.1661567,2.1,2.7,0.657,10.8,96.03108,3630.0,7.17937,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
100,73.0,2004.0,134.9509,0.021655,0.000745,3.81,91.0,25.8,93.0,5.5,91.0,0.1,1191.96192,2.1,2.8,0.668,10.9,96.343,4120.0,6.05509,15.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0
101,73.0,2005.0,139.6523,0.020075,0.000725,4.25,91.0,25.8,92.0,5.25,9.0,0.1,1643.758397,2.0,2.8,0.679,10.9,96.6573,4850.0,5.86188,15.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0
102,72.9,2006.0,144.6938,0.019055,0.000645,4.01,78.0,25.9,87.0,4.58,87.0,0.1,2158.299,2.0,2.9,0.692,11.2,96.97412,5720.0,5.85007,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
103,73.5,2007.0,136.7639,0.01822,0.000625,3.99,85.0,25.9,9.0,4.31,88.0,0.1,3138.8873,2.0,3.1,0.707,11.7,97.29336,6680.0,5.49815,16.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0
104,73.2,2008.0,144.2587,0.01762,0.000575,3.96,89.0,25.9,91.0,3.8,89.0,0.1,41.26997,2.0,3.2,0.721,12.3,97.61513,7390.0,6.63976,16.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0
105,73.3,2009.0,142.0685,0.016975,0.000555,3.96,93.0,26.0,94.0,4.55,93.0,0.1,2993.832531,2.0,3.4,0.725,11.9,97.93934,6280.0,8.44378,17.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
106,73.5,2010.0,137.9296,0.016305,0.000515,4.23,94.0,26.0,96.0,4.56,94.0,0.1,3218.381655,2.0,3.5,0.72,12.3,98.26605,6620.0,9.23539,17.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
107,73.9,2011.0,135.2189,0.015555,0.000505,4.09,95.0,26.1,96.0,3.71,95.0,0.1,3526.978143,2.0,3.7,0.729,12.7,98.59529,7190.0,9.37588,17.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0
108,74.4,2012.0,130.578,0.014935,0.00045,3.89,95.0,26.1,96.0,4.48,95.0,0.1,3684.8481,2.0,3.9,0.732,12.7,98.92704,7890.0,9.13455,18.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0
